,decile_1,decile_1,decile_2,decile_2,decile_3,decile_3,decile_4,decile_4,decile_5,decile_5,decile_6,decile_6,decile_7,decile_7,decile_8,decile_8,decile_9,decile_9,decile_10,decile_10,long_short,long_short,long_only,long_only,benchmark_ew,benchmark_ew
,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net,gross,net
date,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-03,-0.0024837308479936926,-0.0034837308479936926,-0.005299142843650073,-0.006299142843650073,-0.007608948226926704,-0.008608948226926703,-0.00862830782483992,-0.009628307824839921,-0.003129716471724775,-0.004129716471724775,0.005365743059493999,0.004365743059493999,-0.0021299461691349775,-0.0031299461691349775,0.0010093820136753973,9.38201367539724e-06,-0.006165673678953931,-0.007165673678953931,0.008318086365684874,0.0073180863656848736,0.010801817213678566,0.008801817213678566,0.008318086365684874,0.0073180863656848736,-0.0020752254624369915,-0.0030752254624369915
2011-01-04,0.006681005677672835,0.006681005677672835,0.005092602054438717,0.005092602054438717,0.0018049626436291964,0.0018049626436291964,0.0003482724638652564,0.0003482724638652564,0.0101312046038632,0.0101312046038632,0.004023731358576352,0.004023731358576352,0.0003841735879679207,0.0003841735879679207,0.005766278382043408,0.005766278382043408,0.017986058573877473,0.017986058573877473,0.008665137313725778,0.008665137313725778,0.0020506520479059535,0.0020506520479059535,0.008665137313725778,0.008665137313725778,0.006090556613826791,0.006090556613826791
2011-01-05,-0.019723667437511125,-0.019723667437511125,-0.005424305694656517,-0.005424305694656517,-0.002379890776181064,-0.002379890776181064,-0.0008875437104413054,-0.0008875437104413054,-0.006385188344610376,-0.006385188344610376,-0.009237097974209818,-0.009237097974209818,-0.007270212226812414,-0.007270212226812414,-0.0011004052073415337,-0.0011004052073415337,-0.0022746289555344787,-0.0022746289555344787,-0.013524774565058198,-0.013524774565058198,0.00597377208688209,0.00597377208688209,-0.013524774565058198,-0.013524774565058198,-0.006837751772102058,-0.006837751772102058
2011-01-06,0.009321430897140662,0.009321430897140662,0.00816297013777255,0.00816297013777255,0.0023409861717158557,0.0023409861717158557,-0.004682060544095035,-0.004682060544095035,0.0011020333812210435,0.0011020333812210435,0.008612479882880705,0.008612479882880705,0.001703114106166202,0.001703114106166202,0.006931716573424012,0.006931716573424012,0.005601355494136949,0.005601355494136949,0.002627720994968033,0.002627720994968033,-0.00641792610306982,-0.00641792610306982,0.002627720994968033,0.002627720994968033,0.004175990829344249,0.004175990829344249
2011-01-07,0.0036815252593020175,0.0036815252593020175,0.004263388338794344,0.004263388338794344,0.01722977166771747,0.01722977166771747,0.008429381360156675,0.008429381360156675,0.011844548913231369,0.011844548913231369,0.01054532863722556,0.01054532863722556,0.022110987051759748,0.022110987051759748,0.005912389458442718,0.005912389458442718,0.018620346843921567,0.018620346843921567,0.00044112361756551595,0.00044112361756551595,-0.0031747166457166856,-0.0031747166457166856,0.00044112361756551595,0.00044112361756551595,0.010302137340788296,0.010302137340788296
2011-01-10,0.00849917477982911,0.00849917477982911,0.017766896379296012,0.017766896379296012,0.0035643809133827547,0.0035643809133827547,0.004900682107658836,0.004900682107658836,-0.002918251595882191,-0.002918251595882191,0.005422167999022698,0.005422167999022698,-0.006014808561126418,-0.006014808561126418,-0.0022631390335727114,-0.0022631390335727114,0.0021332673592075932,0.0021332673592075932,-0.0013490077371934453,-0.0013490077371934453,-0.009743692514861941,-0.009743692514861941,-0.0013490077371934453,-0.0013490077371934453,0.002950684973309208,0.002950684973309208
2011-01-11,0.01583018619359286,0.01583018619359286,0.0069087028331007464,0.0069087028331007464,-0.0007141870066396524,-0.0007141870066396524,0.010235607787333038,0.010235607787333038,0.006727741998350123,0.006727741998350123,-0.0012897488463018895,-0.0012897488463018895,0.007703365624786713,0.007703365624786713,0.007391213159414793,0.007391213159414793,0.005516184365396099,0.005516184365396099,0.001783088914663217,0.001783088914663217,-0.014137461230804232,-0.014137461230804232,0.001783088914663217,0.001783088914663217,0.005989447034123591,0.005989447034123591
2011-01-12,-0.008220564983738674,-0.008220564983738674,-0.002040017535301062,-0.002040017535301062,-0.007895856866960382,-0.007895856866960382,-0.005043464530038788,-0.005043464530038788,-0.0041888346954956045,-0.0041888346954956045,0.0005475535182835091,0.0005475535182835091,-0.013773892578517155,-0.013773892578517155,-0.00444231695372296,-0.00444231695372296,-0.0015775724663765348,-0.0015775724663765348,-0.009440350398301312,-0.009440350398301312,-0.0011231314892324092,-0.0011231314892324092,-0.009440350398301312,-0.009440350398301312,-0.005584355805058299,-0.005584355805058299
2011-01-13,-0.005773726287483327,-0.005773726287483327,0.003661662755510506,0.003661662755510506,-0.0028462153893903707,-0.0028462153893903707,-0.007013214496342646,-0.007013214496342646,0.017603562526536283,0.017603562526536283,-0.00017232137580941442,-0.00017232137580941442,0.002282699196444602,0.002282699196444602,0.004129187506708074,0.004129187506708074,0.008073639194740058,0.008073639194740058,0.011052611113438722,0.011052611113438722,0.017145388284808872,0.017145388284808872,0.011052611113438722,0.011052611113438722,0.0031120926008783144,0.0031120926008783144
2011-01-14,-0.012499835581011955,-0.012499835581011955,0.006365692426545091,0.006365692426545091,-0.0030411092439700683,-0.0030411092439700683,0.00024117552287631814,0.00024117552287631814,-0.003893275671617862,-0.003893275671617862,-0.008084899686231866,-0.008084899686231866,-0.009562207376387398,-0.009562207376387398,-0.012154597638288911,-0.012154597638288911,-0.013619300976382167,-0.013619300976382167,-0.009180252689463686,-0.009180252689463686,0.003331775756515036,0.003331775756515036,-0.009180252689463686,-0.009180252689463686,-0.006551272402348422,-0.006551272402348422
2011-01-17,0.009867460921549265,0.009867460921549265,0.022921109322256744,0.022921109322256744,0.02175774112068621,0.02175774112068621,0.010283973708358422,0.010283973708358422,0.013092618826498302,0.013092618826498302,0.006534739794087524,0.006534739794087524,0.011291123013961981,0.011291123013961981,-0.0007622872072990672,-0.0007622872072990672,0.014731558810417617,0.014731558810417617,0.006443960534240628,0.006443960534240628,-0.003363284850607961,-0.003363284850607961,0.006443960534240628,0.006443960534240628,0.01165602205197637,0.01165602205197637
2011-01-18,0.0067447925634542,0.0067447925634542,-0.0014411920496976256,-0.0014411920496976256,0.0031902352036174714,0.0031902352036174714,-0.007072528061586335,-0.007072528061586335,-0.006403377591152673,-0.006403377591152673,-0.0011412233473854227,-0.0011412233473854227,0.00043948935024972716,0.00043948935024972716,-0.001801034955306131,-0.001801034955306131,-0.011699533997896795,-0.011699533997896795,0.00320852821948014,0.00320852821948014,-0.003546148315817046,-0.003546148315817046,0.00320852821948014,0.00320852821948014,-0.001650153696103842,-0.001650153696103842
2011-01-19,0.04235654160517202,0.04235654160517202,0.018239336801251376,0.018239336801251376,0.023724334127036246,0.023724334127036246,0.015019007242625265,0.015019007242625265,0.015324832599286277,0.015324832599286277,0.017718995462042954,0.017718995462042954,0.027534342309709425,0.027534342309709425,0.0216989880798882,0.0216989880798882,0.019470921800662025,0.019470921800662025,0.022270553980711837,0.022270553980711837,-0.02042572852451213,-0.02042572852451213,0.022270553980711837,0.022270553980711837,0.022295577927070695,0.022295577927070695
2011-01-20,0.0058364137713307965,0.0058364137713307965,0.015369169987827787,0.015369169987827787,0.017056342214077543,0.017056342214077543,0.02253665294494285,0.02253665294494285,0.02624872324256238,0.02624872324256238,0.017780999726141108,0.017780999726141108,0.005575556919413113,0.005575556919413113,0.011893643229440065,0.011893643229440065,0.017029444055907762,0.017029444055907762,0.006878126139667773,0.006878126139667773,0.0009621726935149164,0.0009621726935149164,0.006878126139667773,0.006878126139667773,0.014623825566780923,0.014623825566780923
2011-01-21,0.0040979761192453555,0.0040979761192453555,0.007613011007294722,0.007613011007294722,-0.0006798987093985639,-0.0006798987093985639,0.008982783767542833,0.008982783767542833,-0.0022659752722784194,-0.0022659752722784194,0.003884179918216021,0.003884179918216021,0.0017554554310579285,0.0017554554310579285,-0.0009216424746593789,-0.0009216424746593789,0.007608577116916268,0.007608577116916268,-0.0038471675752336128,-0.0038471675752336128,-0.00852779320263555,-0.00852779320263555,-0.0038471675752336128,-0.0038471675752336128,0.0026455638408582633,0.0026455638408582633
2011-01-24,-0.013081036115280328,-0.013081036115280328,-0.017035490440346017,-0.017035490440346017,-0.009379118069473353,-0.009379118069473353,-0.00704980803970652,-0.00704980803970652,-0.002382703473994073,-0.002382703473994073,-0.019580362095076763,-0.019580362095076763,-0.018431420122678184,-0.018431420122678184,-0.0070425614130129564,-0.0070425614130129564,-0.006751993181898732,-0.006751993181898732,0.0024159382153604667,0.0024159382153604667,0.016940857497500936,0.016940857497500936,0.0024159382153604667,0.0024159382153604667,-0.009872079827717152,-0.009872079827717152
