ticker,target_weight,open,close,oc_return,weighted_oc_pnl
SIM0000,0.0,50.02181554013077,52.297498717051305,0.0454938140958685,0.0
SIM0001,0.0,51.21682016146876,49.91237188544759,-0.02546913830082964,-0.0
SIM0002,0.0,122.2848571416763,125.848957455687,0.029145884431801994,0.0
SIM0003,0.0,130.29419388466255,128.21663071281228,-0.01594517077015223,-0.0
SIM0004,0.0,131.79087380251238,128.15935919255358,-0.02755512961694595,-0.0
SIM0005,0.0,95.55363986539017,93.77424776568675,-0.01862191856019413,-0.0
SIM0006,-0.02,64.16773406255297,64.94637379359507,0.012134443305775067,-0.00024268886611550133
SIM0007,0.0,139.9278346624137,141.73019923860699,0.012880672244672597,0.0
SIM0008,0.02,142.29517997147596,149.86359600121227,0.05318814053472121,0.0010637628106944241
SIM0009,0.0,78.37575337729929,78.66475819571261,0.003687426352663614,0.0
SIM0010,0.0,36.30101146049128,36.731683625619674,0.011863916397952812,0.0
SIM0011,0.0,85.61869754068891,86.29888579365333,0.007944389163840881,0.0
SIM0012,-0.02,109.44496413219169,111.99164042580212,0.023269013003964778,-0.00046538026007929555
SIM0013,0.0,91.60132094818373,91.23330366075554,-0.004017598039185111,-0.0
SIM0014,0.0,231.3727871698039,232.34807815540285,0.004215236361755803,0.0
SIM0015,0.0,85.46253984414967,88.515039521969,0.035717399499077596,0.0
SIM0016,0.0,68.62312210026597,68.38255321801093,-0.0035056534137801743,-0.0
SIM0017,0.0,102.44421288698754,101.75910093036535,-0.006687658944463548,-0.0
SIM0018,0.0,73.05572013146364,72.41737612941564,-0.008737768937179813,-0.0
SIM0019,0.0,123.90690755156513,129.2237566084261,0.04291002948845546,0.0
SIM0020,0.0,79.83775947163868,81.416857614833,0.019778838404843846,0.0
SIM0021,0.02,289.2477585733267,295.318861853911,0.020989283756351895,0.0004197856751270379
SIM0022,0.0,97.55740944299035,102.82643816897983,0.054009518662634814,0.0
SIM0023,0.02,149.80290603821283,151.56444717983797,0.011759058540398382,0.00023518117080796765
SIM0024,0.0,173.55087085528115,175.29522183862548,0.010050949181343416,0.0
SIM0025,0.0,198.3566588446089,197.32083772698303,-0.005222013335268505,-0.0
SIM0026,0.0,77.32963132265517,78.32465716427275,0.012867329438903674,0.0
SIM0027,0.0,138.33229566181967,141.32587891984375,0.021640523232134168,0.0
SIM0028,0.0,58.474118054135,61.17660624219477,0.04621682682854367,0.0
SIM0029,0.0,97.91022745659106,101.32865713167212,0.034913918227762686,0.0
SIM0030,0.0,101.24236932022734,105.98912637943315,0.04688508468417929,0.0
SIM0031,0.0,170.83521447889265,170.3154597032072,-0.0030424334776110173,-0.0
SIM0032,0.02,122.19767346823487,123.37022881130596,0.009595561926765361,0.00019191123853530724
SIM0033,0.0,101.68488328617215,101.11351544762624,-0.005619004714180642,-0.0
SIM0034,0.0,109.14291274904555,107.25429971208078,-0.01730403733412622,-0.0
SIM0035,0.0,97.34478246696396,97.74146246042906,0.00407500005046213,0.0
