,0
2011-01-31,0.9503284158678802
2011-02-28,0.9431708791419329
2011-03-31,0.9267659461367768
2011-04-29,0.9486088321220755
2011-05-31,0.9437002197165414
2011-06-30,0.9481004391561675
2011-07-29,0.9520429747168149
2011-08-31,0.9424667861334168
2011-09-30,0.9531704412248854
2011-10-31,0.9533027500784701
2011-11-30,0.9506506164009191
2011-12-30,0.9458705204409512
2012-01-31,0.9414885674964385
2012-02-29,0.953079556703769
2012-03-30,0.9547532963032763
2012-04-30,0.9471853454551585
2012-05-31,0.9548469401719294
2012-06-29,0.9541436336636219
2012-07-31,0.9513172426159439
2012-08-31,0.9496613162812013
2012-09-28,0.9552986363505416
2012-10-31,0.9423354661129487
2012-11-30,0.9511653668783349
2012-12-31,0.9520596162384649
2013-01-31,0.9515042615351184
2013-02-28,0.9606975879469782
2013-03-29,0.9614661612381388
2013-04-30,0.9483523190960234
2013-05-31,0.9492884238974462
2013-06-28,0.963690489752626
2013-07-31,0.948096272934928
2013-08-30,0.9475102494144916
2013-09-30,0.9573086292345169
2013-10-31,0.9527185082147034
2013-11-29,0.9593712934851738
2013-12-31,0.9584622739454812
2014-01-31,0.9602214295017517
2014-02-28,0.9579069212619679
2014-03-31,0.9566436685798856
2014-04-30,0.9589088538522827
2014-05-30,0.9484529778119113
2014-06-30,0.9525898061182605
2014-07-31,0.9415645749329984
2014-08-29,0.9529692824839032
2014-09-30,0.9470432914020811
2014-10-31,0.9446832381399973
2014-11-28,0.9628433371555115
2014-12-31,0.9522122959161637
2015-01-30,0.9502467102880459
2015-02-27,0.9630175048892964
2015-03-31,0.964914600284907
2015-04-30,0.9663212391183181
2015-05-29,0.960561301021961
2015-06-30,0.9555598908660694
2015-07-31,0.9416467634063307
2015-08-31,0.9590345997077669
2015-09-30,0.948317675192234
2015-10-30,0.9453342347345293
2015-11-30,0.9542157848631395
2015-12-31,0.9520655769370064
2016-01-29,0.9541363921611029
2016-02-29,0.9604897737762219
2016-03-31,0.9533873015492061
2016-04-29,0.9607966776927347
2016-05-31,0.9510854962937922
2016-06-30,0.9472072768291074
2016-07-29,0.9468960800370884
2016-08-31,0.9498050305383064
2016-09-30,0.9454900219600879
2016-10-31,0.9483165849771833
2016-11-30,0.9505129777627542
2016-12-30,0.9340442186738779
2017-01-31,0.942499033996136
2017-02-28,0.951556414032885
2017-03-31,0.9470402974623944
2017-04-28,0.9578029311635318
2017-05-31,0.9418619754479017
2017-06-30,0.9408337899526965
2017-07-31,0.9555865263775232
2017-08-31,0.9475934036748194
2017-09-29,0.9439749861168119
2017-10-31,0.94301451094961
2017-11-30,0.9512679334572758
2017-12-29,0.9492820822367625
2018-01-31,0.9547807646516518
2018-02-28,0.9618954279070372
2018-03-30,0.9528583238572367
2018-04-30,0.9605262573339449
2018-05-31,0.9400439627406374
2018-06-29,0.9468626892338893
2018-07-31,0.9475457903759325
2018-08-31,0.9574052359238994
2018-09-28,0.959413238734141
2018-10-31,0.96032723855993
2018-11-30,0.9442978949584218
2018-12-31,0.9584913688131154
2019-01-31,0.9484539198879686
2019-02-28,0.9526280512832893
2019-03-29,0.9563073134220247
2019-04-30,0.9512661950406838
2019-05-31,0.950509887244368
2019-06-28,0.954514442057768
2019-07-31,0.941719807217645
2019-08-30,0.9464906680831542
2019-09-30,0.951343651157737
2019-10-31,0.9447929111234518
2019-11-29,0.952925948379268
2019-12-31,0.9473125187189988
2020-01-31,0.9475867056204308
2020-02-28,0.9497476503013417
2020-03-31,0.9520411942160242
2020-04-30,0.9532420986551415
2020-05-29,0.9567496487241288
2020-06-30,0.9582469100524386
2020-07-31,0.9561673766695066
2020-08-31,0.9599011034116425
2020-09-30,0.9578187700702608
2020-10-30,0.9540334645194001
2020-11-30,0.9519000636002544
2020-12-31,0.9444288094260809
2021-01-29,0.9535960724143981
2021-02-26,0.9499532076200592
2021-03-31,0.9430504362826159
2021-04-30,0.9443245172558883
2021-05-31,0.9429543638174553
2021-06-30,0.9478893789129736
2021-07-30,0.9496241639906318
2021-08-31,0.9507217548870196
2021-09-30,0.9600341989644606
2021-10-29,0.9535385652429932
2021-11-30,0.9550836612985005
2021-12-31,0.9503577711287888
2022-01-31,0.9492803438201702
2022-02-28,0.9616152787502715
2022-03-31,0.9434591954265614
2022-04-29,0.9459224380738885
2022-05-31,0.9468509066325421
2022-06-30,0.9503445571417252
2022-07-29,0.956988569269639
2022-08-31,0.9581545742086582
2022-09-30,0.9489010792669674
2022-10-31,0.9521561677572009
2022-11-30,0.9446670121411765
2022-12-30,0.9516902462654819
2023-01-31,0.9522639242886721
2023-02-28,0.9605915426318439
2023-03-31,0.9539735121803491
2023-04-28,0.9567096181162598
2023-05-31,0.9554563297402786
2023-06-30,0.9516470093225164
2023-07-31,0.9417205495328005
2023-08-31,0.946656397325936
2023-09-29,0.9422559818432045
2023-10-31,0.9386840186396889
2023-11-30,0.934260521042084
2023-12-29,0.9447456841393629
2024-01-31,0.9496728546914187
2024-02-29,0.9526045144180576
2024-03-29,0.9583248892995572
2024-04-30,0.956186300311466
2024-05-31,0.963409303880846
2024-06-28,0.9607833498321944
2024-07-31,0.947005335973151
2024-08-30,0.9521797329598958
2024-09-30,0.9535730738585605
2024-10-31,0.9396257575391745
2024-11-29,0.9469600405630536
2024-12-31,0.9425929449259963
2025-01-31,0.9395617258613612
2025-02-28,0.9528502788709948
2025-03-31,0.9445404821619287
2025-04-30,0.9391328198565806
2025-05-30,0.9418765241326025
2025-06-16,0.9712706376608637
