book,curve,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,total_growth,n_days
decile_1,gross,0.06918466046609817,0.1697920649731997,0.47892050173795997,0.6799128884545607,-0.4232100439401202,0.16347594169075788,0.5198833510074231,2.721876909737048,3772
decile_1,net,0.0636205843993205,0.1698246028473769,0.44813245760719594,0.6243964695773796,-0.42896898018515617,0.1483104544572428,0.5190880169671261,2.51739075565525,3772
decile_2,gross,0.055414578120540625,0.16913090175840806,0.4034577684931504,0.5532141305200261,-0.4952835528167694,0.11188455139563518,0.5113997879109226,2.2418303263521753,3772
decile_2,net,0.044184775973621804,0.16918577226797762,0.3401478321460934,0.43989125135861945,-0.5055891585553878,0.08739264920132048,0.51033934252386,1.9101358173689578,3772
decile_3,gross,0.09575205533713826,0.17036251548677966,0.6219992077563226,0.948917492002279,-0.399954155566144,0.2394075771049287,0.5164369034994698,3.9302819012184753,3772
decile_3,net,0.08145012157709175,0.17051112455019396,0.54453613828825,0.8039610401576107,-0.41508101683754794,0.19622704549981682,0.5145811240721103,3.228626712895467,3772
decile_4,gross,0.07496316192659158,0.17080045975163183,0.5086436395438511,0.7414605359399554,-0.42882464682101595,0.1748107588551922,0.5121951219512195,2.9505780170177243,3772
decile_4,net,0.05937297621545401,0.17091790790161562,0.4229222511206798,0.5851102195017666,-0.44589790746544344,0.13315374488510096,0.5106044538706257,2.3710360135630464,3772
decile_5,gross,0.11726021689247634,0.1691624200575989,0.7401182397585547,1.1822904356977675,-0.3599233241149469,0.3257922147191204,0.5153764581124072,5.257585123729842,3772
decile_5,net,0.10055892817768042,0.16928323668699627,0.6507112632987717,1.0099405439591354,-0.3783749786219722,0.2657652695321248,0.513255567338282,4.196415307548485,3772
decile_6,gross,0.14229942172850274,0.1672057352278425,0.8794550076563517,1.4468989041633418,-0.39906578971165185,0.3565813592573854,0.5188229056203606,7.325968884333748,3772
decile_6,net,0.124964734118304,0.1673302566987747,0.7875017096871888,1.2656409672775737,-0.4166667628536844,0.29991529264883143,0.5172322375397667,5.827203241976395,3772
decile_7,gross,0.11451592637627628,0.167744614900704,0.7303128536446483,1.1577584331537514,-0.4308778758811874,0.26577351213979133,0.5251855779427359,5.067565620098051,3772
decile_7,net,0.09770890396096998,0.1678607747263881,0.6393746103140141,0.9834129734114607,-0.44776694931359207,0.21821374737629393,0.5230646871686108,4.036663027170168,3772
decile_8,gross,0.13702728950739962,0.16893654465305147,0.8447712725303957,1.3640183654499343,-0.3869606313618199,0.3541117064678214,0.5227995758218452,6.835854632837034,3772
decile_8,net,0.12096166328598112,0.16905962379880615,0.760073541894026,1.199457542064506,-0.4038906161556708,0.2994911454921228,0.5212089077412513,5.524425113234155,3772
decile_9,gross,0.17519847335753003,0.1693534557566812,1.0381799635720304,1.758572788425338,-0.3475869974219723,0.5040420805639004,0.5222693531283139,11.205791207915613,3772
decile_9,net,0.16133577393388476,0.16944642418116956,0.9676368022357831,1.6155538747838198,-0.3630886650766677,0.4443426343254699,0.5206786850477201,9.382204872302289,3772
decile_10,gross,0.22165352998230992,0.1720557837456474,1.2500316316240572,2.193702930353194,-0.3269783471631975,0.6778844284501838,0.5381760339342524,20.019837947531375,3772
decile_10,net,0.21454897686054442,0.172088337981132,1.215911493961929,2.119485305538296,-0.33440864440115003,0.6415772452436238,0.5371155885471898,18.34617977725184,3772
long_short,gross,0.13816317630437824,0.07705603596531764,1.7184373429718443,3.0594138341168344,-0.07858900842148964,1.7580470740053065,0.546659597030753,6.938789086135957,3772
long_short,net,0.12536163677835477,0.0770804768445186,1.5711005286108801,2.7657698947596714,-0.08066612231462789,1.5540803646095414,0.542948038176034,5.858052652239668,3772
long_only,gross,0.22165352998230992,0.1720557837456474,1.2500316316240572,2.193702930353194,-0.3269783471631975,0.6778844284501838,0.5381760339342524,20.019837947531375,3772
long_only,net,0.21454897686054442,0.172088337981132,1.215911493961929,2.119485305538296,-0.33440864440115003,0.6415772452436238,0.5371155885471898,18.34617977725184,3772
benchmark_ew,gross,0.12067088115802216,0.1624310901835445,0.7827236636203346,1.258999687132328,-0.39057708630762955,0.30895535193526014,0.5227995758218452,5.503013542017325,3772
benchmark_ew,net,0.1194824497180178,0.16243845343906468,0.7761612537138208,1.2464001240031577,-0.3917054115541394,0.3050313990913643,0.5227995758218452,5.41630656586536,3772
