date,turnover_two_way,turnover_one_way,cost,r_overnight_old,r_oc_new,gross_ret,net_ret,book
2011-01-03,1.0,0.5,0.001,0.0,0.0014222332401534763,0.0014222332401534477,0.00042223324015344763,decile_1
2011-02-01,0.2684444273256874,0.1342222136628437,0.00026844442732568743,0.0006293367393315681,0.011422124393851936,0.012058649495705787,0.0117902050683801,decile_1
2011-03-01,0.3853951043487075,0.19269755217435375,0.0003853951043487075,0.00025701160091701577,0.015473320531280052,0.015734308955078324,0.015348913850729617,decile_1
2011-04-01,0.5854616667106692,0.2927308333553346,0.0005854616667106692,5.852613374246002e-05,0.010596997584148747,0.01065614391918901,0.01007068225247834,decile_1
2011-05-02,0.4299310822346546,0.2149655411173273,0.0004299310822346546,7.486202031294686e-05,-0.006362722765841524,-0.0062883370718094245,-0.006718268154044079,decile_1
2011-06-01,0.36124934634515204,0.18062467317257602,0.00036124934634515206,-9.492331810099537e-05,0.005359083721505784,0.005263651701395977,0.004902402355050825,decile_1
2011-07-01,0.3979763642102318,0.1989881821051159,0.0003979763642102318,-0.000565837509272746,-0.018873303278082922,-0.019428461564437005,-0.019826437928647238,decile_1
2011-08-01,0.385920267336859,0.1929601336684295,0.000385920267336859,7.507882048500545e-05,-0.030261433037350495,-0.030188626209564084,-0.030574546476900943,decile_1
2011-09-01,0.3818185681967062,0.1909092840983531,0.0003818185681967062,0.00029269636670746393,0.005310037765937746,0.005604288361406251,0.005222469793209545,decile_1
2011-10-03,0.3113780034821218,0.1556890017410609,0.00031137800348212183,-0.00015926602954570882,0.016567854263060122,0.0164059495371478,0.01609457153366568,decile_1
2011-11-01,0.3802242097716609,0.19011210488583044,0.0003802242097716609,-0.0005022032247264525,-0.0050379604452594935,-0.005537633590004365,-0.005917857799776026,decile_1
2011-12-01,0.3583116133625408,0.1791558066812704,0.0003583116133625408,0.00011720668034854529,-0.009986930302009558,-0.009870894156608578,-0.01022920576997112,decile_1
2012-01-02,0.3115583146241938,0.1557791573120969,0.0003115583146241938,0.0009629054979966254,-0.003141275812589382,-0.0021813950663432946,-0.0024929533809674885,decile_1
2012-02-01,0.6175577318415046,0.3087788659207523,0.0006175577318415046,-0.0001073983486521789,0.0013355605814040915,0.0012280187957509625,0.0006104610639094579,decile_1
2012-03-01,0.4636947113694978,0.2318473556847489,0.0004636947113694978,-0.0007032380992840934,0.013311511304169868,0.012598912042977695,0.012135217331608196,decile_1
2012-04-02,0.5440190466563946,0.2720095233281973,0.0005440190466563945,-0.0003311219511657897,-0.014635343292647766,-0.01496161916038663,-0.015505638207043024,decile_1
2012-05-01,0.4552994573036605,0.22764972865183025,0.00045529945730366053,-0.0008351332629647563,-0.0005099902834135775,-0.001344697636528891,-0.0017999970938325515,decile_1
2012-06-01,0.43793994887940635,0.21896997443970317,0.00043793994887940635,-0.0004389578445311354,0.011314364152996196,0.010870439779564256,0.01043249983068485,decile_1
2012-07-02,0.41984737150149604,0.20992368575074802,0.00041984737150149606,0.00015612538262151462,-0.0007794360610176819,-0.0006234323681495457,-0.0010432797396510418,decile_1
2012-08-01,0.46023665096017236,0.23011832548008618,0.00046023665096017237,-0.000293126066216512,-0.015253491131827899,-0.015542146002192947,-0.01600238265315312,decile_1
2012-09-03,0.54126697468167,0.270633487340835,0.00054126697468167,-0.0004442476820637792,-0.024101241577926244,-0.02453478233928419,-0.02507604931396586,decile_1
